Formula,Energy above hull [eV/atom],Heat of formation [eV/atom],Magnetic,Layer group,Band gap (PBE) [eV],Band gap (G₀W₀) [eV],Band gap (HSE06) [eV] ▲,Direct band gap (PBE) [eV],Direct band gap (G₀W₀) [eV],Direct band gap (HSE06) [eV],CBM wrt. vacuum (PBE) [eV],Fermi level wrt. vacuum (PBE) [eV],VBM (vs. avg. vacuum) (PBE) [eV],VBM wrt. vacuum (PBE) [eV],Energy [eV],"Magnetic anisotropy energy, xz [meV/unit cell]","Magnetic anisotropy energy, yz [meV/unit cell]",Stoichiometry,Vacuum level [eV]
Ta4Si2S8,0.1,-0.861,0,pbam,0.295,,0.42,0.379,,0.558,-4.511,-4.659,,-4.806,-94.74,0.0,0.0,AB2C4,2.276
I4Ti2,0.004,-0.717,0,p2_1/m11,0.155,,0.423,0.26,,0.46,-3.961,-4.038,,-4.116,-23.595,0.0,0.0,AB2,4.018
HgSe,0.157,-0.089,0,p3m1,0.117,,0.423,0.117,,0.423,-5.368,-5.427,,-5.485,-4.545,0.0,0.0,AB,1.998
Nb4Sn2Te8,0.0,-0.461,0,pbam,0.296,,0.427,0.301,,0.467,-4.23,-4.378,,-4.526,-81.508,0.0,0.0,AB2C4,2.428
Co2Br2S2,0.0,-0.447,0,pmmn,0.0,,0.428,0.0,,0.428,,-5.688,,,-30.465,0.0,0.0,ABC,3.932
Ag6Br12,0.008,-0.234,0,p1,0.12,,0.429,0.146,,0.436,-6.209,-6.269,,-6.329,-40.261,0.0,0.0,AB2,2.561
Tl2As2Be2,0.0,-0.061,0,p4/nmm,0.0,,0.44,0.0,,1.385,,-3.224,,,-22.091,0.0,0.0,ABC,3.947
Ni4Se6S2,0.016,-0.258,0,pb11,0.137,,0.44,0.178,,0.507,-4.928,-4.996,,-5.064,-61.134,0.0,0.0,AB2C3,3.507
Ta4Te8Ge2,0.0,-0.404,0,pbam,0.311,,0.447,0.468,,0.572,-4.107,-4.263,,-4.418,-79.588,0.0,0.0,AB2C4,2.516
I2Co2S2,0.04,-0.288,0,pmmn,0.0,,0.45,0.0,,0.579,,-5.038,,,-29.296,0.0,0.0,ABC,4.317
WTe3MnSe,0.096,-0.187,1,pm11,0.123,,0.458,0.123,,0.56,-4.27,-4.332,,-4.394,-35.42,0.603,-0.186,ABCD3,4.379
Bi2Te3,0.0,-0.228,0,p-3m1,0.083,,0.468,0.209,,0.662,-5.25,-5.291,,-5.333,-20.105,0.0,0.0,A2B3,4.854
Ag4Br4S4H4,0.069,-0.173,0,p-1,0.279,,0.47,0.354,,0.576,-5.887,-6.027,,-6.167,-50.069,0.0,0.0,ABCD,1.635
Nb4Pd2S10,0.064,-0.859,0,p112/a,0.148,,0.475,0.179,,0.475,-5.516,-5.59,,-5.665,-103.47,0.0,0.0,AB2C5,2.107
Ag4Se4O12,0.014,-0.522,0,p2_1/b11,0.121,,0.477,0.121,,0.477,-5.585,-5.645,,-5.705,-97.229,0.0,0.0,ABC3,1.072
Ti3C2O2,0.175,-1.609,0,p-6m2,0.0,,0.478,0.0,,1.481,,-6.142,,,-60.017,0.0,0.0,A2B2C3,6.171
HfTeS,0.164,-1.048,0,p3m1,0.038,,0.481,0.603,,1.252,-5.172,-5.191,,-5.21,-17.932,0.0,0.0,ABC,4.167
Rh2I2S2,0.038,-0.398,0,pmmn,0.0,,0.483,0.0,,0.578,,-5.116,,,-27.794,0.0,0.0,ABC,4.248
AgSbTe6As2,0.099,0.049,0,p3,0.007,,0.486,0.007,,0.486,-4.736,-4.739,,-4.742,-35.312,0.0,0.0,ABC2D6,2.094
Co4S6,0.07,-0.376,0,p-6m2,0.096,,0.49,0.255,,0.986,-5.73,-5.778,,-5.826,-61.145,0.0,0.0,A2B3,5.331
ReIr2RhSe8,0.083,-0.313,0,p1,0.192,,0.504,0.318,,0.701,-4.529,-4.625,,-4.721,-68.98,0.0,0.0,ABC2D8,3.923
PbBi2Te4,0.0,-0.285,0,p-3m1,0.117,,0.506,0.297,,0.672,-5.219,-5.277,,-5.336,-27.919,0.0,0.0,AB2C4,3.571
Hf3N2O2,0.088,-2.386,0,p-6m2,0.32,,0.508,0.872,,1.207,-4.197,-4.357,,-4.517,-66.174,0.0,0.0,A2B2C3,6.774
Ta4Te10Ni6,0.0,-0.416,0,pmmn,0.077,,0.51,0.078,,0.51,-4.168,-4.207,,-4.245,-123.109,0.0,0.0,A2B3C5,2.418
Pd3TiSe8,0.039,-0.462,0,p1,0.239,,0.513,0.375,,0.661,-5.017,-5.137,,-5.256,-51.553,0.0,0.0,AB3C8,3.604
Bi2Te2Se,0.0,-0.297,0,p-3m1,0.121,,0.518,0.237,,0.73,-5.239,-5.299,,-5.36,-20.727,0.0,0.0,AB2C2,4.784
Ir2I2Se2,0.042,-0.213,0,pmmn,0.0,,0.52,0.0,,0.586,,-4.673,,,-29.755,0.0,0.0,ABC,4.344
Bi2TeS2,0.062,-0.267,0,p-3m1,0.021,,0.528,0.021,,0.528,-5.88,-5.891,,-5.901,-22.046,0.0,0.0,AB2C2,4.828
BiAgTe6As2,0.098,0.022,0,p3,0.014,,0.528,0.014,,0.528,-4.808,-4.815,,-4.821,-35.851,0.0,0.0,ABC2D6,2.099
TeTiS,0.11,-0.921,0,p3m1,0.093,,0.531,0.548,,1.398,-5.136,-5.183,,-5.229,-16.736,0.0,0.0,ABC,4.045
Nb4Te8Ge2,0.002,-0.5,0,pbam,0.416,,0.535,0.54,,0.647,-4.207,-4.415,,-4.623,-82.982,0.0,0.0,AB2C4,2.487
IVS,0.131,-0.648,1,p3m1,0.157,,0.539,0.272,,0.585,-4.905,-4.983,,-5.061,-16.026,-0.424,-0.424,ABC,1.91
YI2,0.003,-1.305,1,p-6m2,0.142,,0.544,0.688,,1.209,-3.512,-3.583,,-3.654,-11.565,0.634,0.634,AB2,3.811
Ta4Se8Si2,0.017,-0.745,0,pbam,0.38,,0.545,0.525,,0.687,-4.172,-4.362,,-4.552,-88.36,0.0,0.0,AB2C4,2.359
