Formula,Energy above hull [eV/atom],Heat of formation [eV/atom],Magnetic,Layer group,Band gap (PBE) [eV],Band gap (G₀W₀) [eV],Band gap (HSE06) [eV] ▲,Direct band gap (PBE) [eV],Direct band gap (G₀W₀) [eV],Direct band gap (HSE06) [eV],CBM wrt. vacuum (PBE) [eV],Fermi level wrt. vacuum (PBE) [eV],VBM (vs. avg. vacuum) (PBE) [eV],VBM wrt. vacuum (PBE) [eV],Energy [eV],"Magnetic anisotropy energy, xz [meV/unit cell]","Magnetic anisotropy energy, yz [meV/unit cell]",Stoichiometry,Vacuum level [eV]
Pb6Te6,0.08,-0.341,0,cm2m,0.279,,0.591,0.331,,0.591,-4.294,-4.434,,-4.574,-45.873,0.0,0.0,AB,4.463
PdNi3Se5S3,0.046,-0.244,0,p1,0.274,,0.593,0.361,,0.74,-5.008,-5.145,,-5.282,-58.14,0.0,0.0,AB3C3D5,3.481
Tl2As2Be2,0.067,0.006,0,p3m1,0.096,,0.594,0.963,,1.376,-4.297,-4.345,,-4.393,-21.689,0.0,0.0,ABC,2.931
Ir2Se2Br2,0.015,-0.322,0,pmmn,0.052,,0.598,0.063,,0.598,-5.166,-5.192,,-5.218,-30.616,0.0,0.0,ABC,4.039
Rh2Br2S2,0.0,-0.524,0,pmmn,0.043,,0.598,0.047,,0.598,-5.698,-5.72,,-5.741,-28.767,0.0,0.0,ABC,3.92
NbMnSe4,0.027,-0.647,0,pm2m,0.211,,0.598,0.407,,0.906,-5.146,-5.252,,-5.357,-37.854,0.0,0.0,ABC4,4.321
Te4Ti4Br4,0.082,-0.877,1,pm2_1n,0.09,,0.599,0.136,,0.853,-4.599,-4.644,,-4.689,-56.446,3.31,3.483,ABC,3.943
PtTe2,0.027,-0.392,0,p-3m1,0.303,1.242,0.599,0.794,1.854,1.174,-3.982,-4.133,,-4.284,-13.94,0.0,0.0,AB2,3.83
TeTiSe,0.104,-0.817,0,p3m1,0.065,,0.6,0.493,,1.418,-5.166,-5.198,,-5.231,-15.828,0.0,0.0,ABC,4.109
Ir2Se2Cl2,0.022,-0.408,0,pmmn,0.062,,0.609,0.062,,0.609,-5.586,-5.617,,-5.648,-31.535,0.0,0.0,ABC,4.015
Ni4Se3S5,0.042,-0.256,0,cm11,0.287,,0.61,0.781,,1.172,-5.059,-5.203,,-5.346,-62.897,0.0,0.0,A3B4C5,3.444
In4Cl4,0.054,-0.788,0,cmmm,0.21,,0.612,0.21,,0.612,-4.695,-4.8,,-4.905,-24.498,0.0,0.0,AB,2.185
I4Cu4O4H4,0.053,-0.539,0,p2_1/b11,0.136,,0.615,0.164,,0.631,-5.183,-5.251,,-5.32,-63.041,0.0,0.0,ABCD,1.904
Zr3N2O2,0.094,-2.427,0,p-6m2,0.401,,0.616,0.78,,1.164,-4.227,-4.427,,-4.628,-66.151,0.0,0.0,A2B2C3,6.624
Te4I4Ti4,0.081,-0.68,1,pm2_1n,0.134,,0.618,0.173,,0.733,-4.374,-4.44,,-4.507,-53.657,4.311,4.287,ABC,4.03
Co4S8,0.071,-0.317,0,p-1,0.322,,0.618,0.383,,0.781,-5.61,-5.771,,-5.932,-69.34,0.0,0.0,AB2,3.685
Sb2I2,0.127,-0.122,0,c2/m11,0.586,,0.621,0.586,,0.621,-4.175,-4.468,,-4.761,-12.256,0.0,0.0,AB,3.083
Tl2Te2,0.139,-0.087,0,p-3m1,0.294,,0.621,0.315,,0.638,-4.9,-5.047,,-5.194,-11.755,0.0,0.0,AB,3.83
Pb3Se3,0.08,-0.503,0,pm2m,0.207,,0.622,0.207,,0.622,-4.28,-4.384,,-4.488,-24.742,0.0,0.0,AB,4.385
Ag4S4Cl4H4,0.064,-0.228,0,p-1,0.38,,0.622,0.457,,0.706,-6.045,-6.235,,-6.425,-51.753,0.0,0.0,ABCD,1.574
Rh2S2Cl2,0.007,-0.62,0,pmmn,0.011,,0.623,0.011,,0.623,-6.23,-6.235,,-6.241,-29.741,0.0,0.0,ABC,3.893
Tl2Sn2P2,0.049,0.026,0,pm2_1n,0.276,,0.625,0.693,,1.134,-3.421,-3.559,,-3.697,-23.678,0.0,0.0,ABC,3.088
SnTe4As2,0.025,-0.067,0,p-3m1,0.365,,0.627,0.566,,0.78,-4.401,-4.584,,-4.766,-26.668,0.0,0.0,AB2C4,3.536
Nb4Se8Si2,0.0,-0.825,0,pbam,0.446,,0.636,0.538,,0.747,-4.314,-4.537,,-4.76,-91.51,0.0,0.0,AB2C4,2.329
HfTeSe,0.149,-0.941,0,p3m1,0.142,0.738,0.637,0.649,1.457,1.335,-5.165,-5.236,,-5.307,-17.016,0.0,0.0,ABC,4.214
IV2BrS2,0.045,-0.826,1,pm11,0.302,,0.638,0.311,,0.638,-4.957,-5.108,,-5.259,-33.222,-0.556,-0.83,ABC2D2,3.921
SnSb2Te4,0.002,-0.167,0,p-3m1,0.387,,0.638,0.517,,0.745,-4.536,-4.729,,-4.922,-26.858,0.0,0.0,AB2C4,3.554
Cu2Br6,0.091,-0.152,1,p-31m,0.107,,0.643,0.144,,0.705,-6.363,-6.416,,-6.47,-18.075,-3.576,-3.571,AB3,2.706
Tl4Sn4As4,0.057,0.017,0,pb2_1a,0.297,,0.651,0.488,,0.86,-3.741,-3.89,,-4.038,-44.667,0.0,0.0,ABC,3.224
In2VS4,0.074,-0.648,1,p-3m1,0.0,,0.654,0.0,,0.654,,-4.369,,,-34.898,0.142,0.142,AB2C4,3.225
Pb2Te6,0.129,-0.082,0,p2_111,0.268,,0.654,0.427,,0.847,-4.689,-4.823,,-4.957,-27.401,0.0,0.0,AB3,4.238
Ta4Te8Si2,0.0,-0.425,0,pbam,0.439,,0.655,0.525,,0.726,-3.983,-4.203,,-4.422,-81.657,0.0,0.0,AB2C4,2.541
Bi2Te4Mn,0.036,-0.17,1,p-3m1,0.11,,0.656,0.212,,0.656,-4.625,-4.68,,-4.736,-33.078,-1.845,-1.907,AB2C4,3.529
HfTe2,0.133,-0.698,0,p-6m2,0.132,0.809,0.665,0.585,1.412,1.248,-5.088,-5.154,,-5.22,-16.008,0.0,0.0,AB2,4.196
Sb2Cu2Se4,0.072,-0.149,0,pm2_1b,0.183,,0.669,0.183,,0.669,-4.068,-4.16,,-4.251,-31.285,0.0,0.0,ABC2,2.096
ZrTeS,0.122,-1.12,0,p3m1,0.208,0.735,0.672,0.641,1.429,1.335,-5.179,-5.283,,-5.387,-18.045,0.0,0.0,ABC,4.104
Bi4S6,0.023,-0.344,0,p-6m2,0.12,,0.672,0.777,,1.33,-6.006,-6.066,,-6.125,-46.604,0.0,0.0,A2B3,4.796
Au2AgI3MnSe3,0.076,-0.165,1,p1,0.149,,0.674,0.319,,0.875,-5.568,-5.643,,-5.718,-35.354,1.791,2.872,ABC2D3E3,2.93
Rh2Br2O2,0.114,-0.524,0,pmmn,0.0,,0.677,0.0,,0.677,,-4.991,,,-30.854,0.0,0.0,ABC,3.708
Nb2P2S6,0.192,-0.519,0,p-31m,0.508,,0.679,0.508,,0.679,-3.806,-4.059,,-4.313,-61.038,0.0,0.0,ABC3,4.292
Tl2Te2,0.137,-0.089,0,p-6m2,0.339,,0.681,0.38,,0.716,-4.844,-5.014,,-5.184,-11.763,0.0,0.0,AB,3.839
AuTe6VAs2,0.097,-0.051,1,c211,0.235,,0.682,0.42,,1.06,-4.54,-4.658,,-4.775,-40.721,-0.386,-0.724,ABC2D6,2.033
Sn2H2,0.171,0.171,0,p-3m1,0.236,1.043,0.685,0.236,1.043,0.685,-4.542,-4.66,,-4.778,-14.077,0.0,0.0,AB,1.973
Au4Se4O12,0.064,-0.399,0,p2_1/b11,0.268,,0.685,0.268,,0.685,-4.96,-5.094,,-5.228,-95.929,0.0,0.0,ABC3,1.118
Te6Fe3,0.094,-0.1,0,p31m,0.083,,0.687,0.134,,0.949,-4.714,-4.755,,-4.797,-47.249,0.0,0.0,AB2,4.289
Hf3Te8Ti,0.132,-0.666,0,pm2m,0.08,,0.688,0.126,,0.742,-5.132,-5.172,,-5.212,-62.843,0.0,0.0,AB3C8,4.162
Hf3ZrTe8,0.127,-0.72,0,pm2m,0.142,,0.69,0.188,,0.728,-5.125,-5.196,,-5.268,-64.203,0.0,0.0,AB3C8,4.183
Hf2Te8Ti2,0.129,-0.636,0,pm2m,0.037,,0.692,0.104,,0.732,-5.15,-5.168,,-5.187,-61.667,0.0,0.0,ABC4,4.149
Ru2O4,0.163,-0.925,0,p2_1/m11,0.045,,0.693,0.045,,0.7,-6.638,-6.661,,-6.683,-44.976,0.0,0.0,AB2,3.655
SnSb2Se4,0.0,-0.311,0,p-3m1,0.368,,0.694,0.67,,0.899,-5.045,-5.229,,-5.413,-28.98,0.0,0.0,AB2C4,3.492
Ta3I8,0.012,-0.42,1,p3m1,0.155,,0.694,0.264,,0.804,-3.922,-4.0,,-4.077,-45.893,1.049,1.048,A3B8,2.161
Sb2Te3,0.004,-0.121,0,p-3m1,0.337,,0.699,0.653,,0.974,-4.629,-4.797,,-4.966,-19.03,0.0,0.0,A2B3,4.871
Tl2Pb2P2,0.057,0.046,0,pm2_1n,0.359,,0.7,0.491,,0.953,-3.393,-3.572,,-3.752,-22.965,0.0,0.0,ABC,3.087
Sb2I2Mn2Se4,0.116,-0.266,1,p2/m11,0.054,,0.701,0.072,,0.702,-4.349,-4.376,,-4.403,-47.79,0.166,4.204,ABCD2,1.756
Pd3NiSe8,0.016,-0.266,0,p2/m11,0.382,,0.702,0.524,,0.887,-4.829,-5.02,,-5.211,-49.763,0.0,0.0,AB3C8,3.515
Cu4S6Cl4,0.146,-0.181,0,p-1,0.342,,0.704,0.387,,0.931,-6.684,-6.855,,-7.027,-48.842,0.0,0.0,A2B2C3,3.012
PbSb2Te4,0.011,-0.199,0,p-3m1,0.302,,0.704,0.563,,0.849,-4.759,-4.91,,-5.061,-26.782,0.0,0.0,AB2C4,3.584
I2V2SeS,0.051,-0.665,1,pm11,0.214,,0.71,0.309,,0.71,-4.843,-4.95,,-5.057,-31.555,-0.706,-1.672,ABC2D2,3.997
V4Li2O10,0.037,-2.292,1,pmmn,0.309,,0.712,0.403,,0.844,-5.472,-5.627,,-5.781,-125.787,-0.043,-0.05,AB2C5,1.419
Sn2Te6Cr2,0.078,-0.161,1,p-31m,0.086,,0.716,0.739,,1.284,-4.568,-4.611,,-4.654,-47.773,1.047,1.047,ABC3,2.139
Hf2Zr2Te8,0.121,-0.742,0,pm2m,0.166,,0.717,0.22,,0.764,-5.145,-5.228,,-5.31,-64.367,0.0,0.0,ABC4,4.174
Nb2Se2N2,0.091,-0.805,0,p3m1,0.33,,0.719,0.745,,0.77,-4.4,-4.565,,-4.73,-49.155,0.0,0.0,ABC,3.955
Rh2S2F2,0.095,-1.005,0,pm2_1n,0.107,,0.72,0.107,,0.72,-5.856,-5.91,,-5.963,-31.655,0.0,0.0,ABC,3.295
Sn2Te6As2,0.081,-0.039,0,p-3,0.455,,0.722,0.53,,0.813,-4.393,-4.62,,-4.848,-37.058,0.0,0.0,ABC3,3.652
Nb4Te8Si2,0.002,-0.518,0,pbam,0.521,,0.722,0.589,,0.784,-4.091,-4.351,,-4.611,-84.996,0.0,0.0,AB2C4,2.506
Te2Ti,0.109,-0.591,0,p-6m2,0.036,,0.722,0.389,,1.35,-5.132,-5.15,,-5.168,-14.872,0.0,0.0,AB2,4.15
ZrTe8Ti3,0.114,-0.635,0,pm2m,0.08,,0.722,0.1,,0.751,-5.141,-5.181,,-5.221,-60.726,0.0,0.0,AB3C8,4.138
HfTe8Ti3,0.119,-0.613,0,pm2m,0.052,,0.724,0.076,,0.739,-5.134,-5.16,,-5.186,-60.574,0.0,0.0,AB3C8,4.143
Te6Ga2Si2,0.035,-0.153,0,p-31m,0.317,,0.726,0.489,,0.916,-4.603,-4.761,,-4.92,-37.36,0.0,0.0,ABC3,2.065
Re2RhCoS8,0.074,-0.43,0,p1,0.29,,0.73,0.345,,0.778,-4.942,-5.087,,-5.232,-76.482,0.0,0.0,ABC2D8,3.878
Te6Ga4,0.063,-0.267,0,cm2m,0.141,,0.731,0.18,,0.75,-4.146,-4.217,,-4.287,-33.513,0.0,0.0,A2B3,4.222
Bi2Se3,0.0,-0.389,0,p-3m1,0.243,,0.732,0.628,,1.101,-5.742,-5.863,,-5.985,-21.743,0.0,0.0,A2B3,2.827
Tl4As4Be4,0.082,0.021,0,pmma,0.29,,0.735,0.389,,0.823,-3.295,-3.44,,-3.584,-43.197,0.0,0.0,ABC,3.182
ScCl2,0.009,-1.934,1,p-6m2,0.107,,0.736,0.859,,1.518,-4.003,-4.057,,-4.11,-14.031,0.018,0.018,AB2,3.405
I3MnCuS2,0.088,-0.21,1,p1,0.131,,0.74,0.215,,0.771,-5.375,-5.441,,-5.507,-27.456,-1.848,-2.4,ABC2D3,3.127
Te6Ga2Ge2,0.074,-0.132,0,p-31m,0.338,,0.743,0.338,,0.75,-4.523,-4.692,,-4.861,-35.385,0.0,0.0,ABC3,2.068
Zr2Te8Ti2,0.118,-0.68,0,pm2m,0.117,,0.744,0.159,,0.777,-5.155,-5.213,,-5.272,-61.981,0.0,0.0,ABC4,4.13
Cu6SeBr2S3Cl6,0.047,-0.338,0,p1,0.271,,0.747,0.311,,0.799,-6.226,-6.361,,-6.497,-57.743,0.0,0.0,AB2C3D6E6,3.267
FeBr2MgO2,0.054,-1.28,1,cm11,0.137,,0.755,0.16,,0.755,-6.398,-6.466,,-6.534,-31.758,0.536,0.382,ABC2D2,2.532
Ag2Te2,0.11,0.059,0,p2/m11,0.477,,0.756,0.977,,1.259,-4.534,-4.773,,-5.011,-11.852,0.0,0.0,AB,2.458
Bi4Sr2S8,0.073,-0.808,0,c2/m11,0.456,,0.756,0.492,,0.756,-4.812,-5.039,,-5.267,-65.988,0.0,0.0,AB2C4,3.267
PbBi2Se4,0.0,-0.446,0,p-3m1,0.289,,0.756,0.547,,0.95,-5.663,-5.807,,-5.952,-30.16,0.0,0.0,AB2C4,3.528
ScBr2,0.0,-1.588,1,p-6m2,0.157,,0.757,0.826,,1.513,-3.768,-3.846,,-3.925,-12.592,0.124,0.124,AB2,3.37
Rh2Cl2O2,0.07,-0.651,0,pmmn,0.04,,0.759,0.074,,0.759,-5.42,-5.44,,-5.46,-32.018,0.0,0.0,ABC,3.662
I2Sc2C,0.0,-0.931,0,p-3m1,0.0,,0.759,0.0,,2.191,,-4.512,,,-26.149,0.0,0.0,AB2C2,3.02
AgTe6CrAs2,0.057,-0.04,1,c211,0.249,,0.76,0.518,,1.097,-4.493,-4.617,,-4.742,-41.204,1.546,1.317,ABC2D6,2.033
TeTiBr,0.057,-0.903,1,p3m1,0.183,,0.763,0.73,,1.051,-4.441,-4.533,,-4.624,-14.187,0.911,0.909,ABC,3.875
HfZr3Te8,0.115,-0.765,0,pm2m,0.213,,0.766,0.253,,0.797,-5.145,-5.251,,-5.358,-64.531,0.0,0.0,AB3C8,4.163
Ag2Br6,0.131,-0.058,1,p-31m,0.046,,0.768,0.048,,0.831,-6.499,-6.522,,-6.545,-15.648,-4.027,-4.019,AB3,2.598
Bi2SnS4,0.011,-0.382,0,p-3m1,0.292,,0.768,0.566,,0.979,-5.772,-5.918,,-6.064,-32.389,0.0,0.0,AB2C4,3.465
YICl,0.054,-1.652,1,p3m1,0.255,,0.773,0.873,,1.493,-3.527,-3.654,,-3.782,-12.91,0.252,0.252,ABC,3.637
In2Ni4Se6,0.092,-0.286,0,p-3m1,0.565,,0.773,0.577,,0.773,-4.271,-4.553,,-4.836,-58.842,0.0,0.0,AB2C3,1.793
Sb2Te2Se,0.006,-0.184,0,p-3m1,0.4,,0.776,0.629,,0.961,-4.611,-4.811,,-5.011,-19.625,0.0,0.0,AB2C2,4.78
Ag4Cl8,0.08,-0.284,0,p11a,0.255,,0.778,0.318,,0.778,-7.257,-7.385,,-7.512,-29.047,0.0,0.0,AB2,2.446
Hg3P2,0.067,0.067,0,c2/m11,0.487,,0.782,0.526,,0.817,-3.731,-3.975,,-4.218,-13.051,0.0,0.0,A2B3,3.041
ZrTeSe,0.115,-1.017,0,p3m1,0.262,0.895,0.783,0.632,1.495,1.358,-5.203,-5.334,,-5.465,-17.143,0.0,0.0,ABC,4.163
Au2I8Mn2,0.022,-0.229,1,p-1,0.259,,0.787,0.259,,0.795,-5.069,-5.198,,-5.328,-40.264,-0.158,1.005,ABC4,2.372
InMnSe2Br2,0.088,-0.578,1,cm11,0.19,,0.79,0.255,,0.87,-5.271,-5.365,,-5.46,-26.085,-0.199,0.535,ABC2D2,2.801
Zr3Te8Ti,0.115,-0.732,0,pm2m,0.189,,0.793,0.222,,0.822,-5.152,-5.247,,-5.342,-63.321,0.0,0.0,AB3C8,4.131
PdZnSe6P2,0.075,-0.208,1,p312,0.065,,0.796,0.126,,0.925,-4.804,-4.836,,-4.868,-38.706,0.484,0.486,ABC2D6,3.77
Co2Br2O2,0.079,-0.679,0,pmmn,0.0,,0.801,0.0,,0.801,,-5.277,,,-33.952,0.0,0.0,ABC,3.803
Mo2Cl6,0.139,-0.78,0,p-62m,0.507,,0.815,0.507,,0.815,-4.558,-4.811,,-5.065,-39.351,0.0,0.0,AB3,3.695
Nb4I2S12,0.049,-0.693,0,p-1,0.318,,0.816,0.385,,0.82,-4.912,-5.071,,-5.23,-105.67,0.0,0.0,AB2C6,1.823
Ti2Br4,0.0,-1.178,0,p2_1/m11,0.288,,0.817,0.385,,0.885,-4.105,-4.249,,-4.392,-26.787,0.0,0.0,AB2,3.636
Tl2Ni4Se6,0.0,-0.32,0,p-3m1,0.54,,0.819,0.54,,0.819,-4.008,-4.278,,-4.548,-58.719,0.0,0.0,AB2C3,1.8
RuCuSeCl3,0.061,-0.442,0,p1,0.278,,0.82,0.291,,0.82,-5.447,-5.586,,-5.725,-24.631,0.0,0.0,ABCD3,3.17
TeCrS,0.161,-0.318,0,p3m1,0.261,0.697,0.82,0.666,1.006,1.095,-4.731,-4.862,,-4.992,-17.644,0.0,0.0,ABC,4.436
Ta3Br8,0.057,-0.865,1,p3m1,0.213,,0.821,0.306,,0.939,-4.001,-4.107,,-4.214,-51.643,0.926,0.925,A3B8,1.895
Ta4S12,0.0,-0.844,0,p2_1/m11,0.16,,0.823,0.222,,0.884,-5.587,-5.667,,-5.747,-101.702,0.0,0.0,AB3,2.691
Cr2Se6P2,0.013,-0.312,1,p31m,0.431,,0.824,0.634,,1.297,-4.344,-4.56,,-4.775,-53.563,0.115,0.116,ABC3,3.681
Nb3I8,0.0,-0.537,1,p3m1,0.193,,0.824,0.332,,0.933,-4.139,-4.236,,-4.332,-48.711,0.429,0.428,A3B8,2.106
I2Ti,0.052,-0.67,0,p-6m2,0.596,1.09,0.828,0.616,1.331,0.828,-3.031,-3.33,,-3.628,-11.655,0.0,0.0,AB2,4.024
TeVSe,0.013,-0.502,1,p3m1,0.12,,0.831,0.597,,0.993,-4.988,-5.048,,-5.108,-16.719,1.139,1.139,ABC,4.26
Tl2Se2,0.078,-0.195,0,p-3m1,0.449,,0.834,0.492,,0.876,-5.391,-5.615,,-5.839,-12.741,0.0,0.0,AB,3.92
Ge2Al2S2,0.035,-0.56,0,p-3m1,0.187,,0.835,0.187,,0.835,-3.786,-3.88,,-3.973,-28.022,0.0,0.0,ABC,2.729
ZrTe2,0.11,-0.787,0,p-6m2,0.259,0.906,0.836,0.541,1.374,1.243,-5.149,-5.278,,-5.408,-16.172,0.0,0.0,AB2,4.155
WTe8Cr3,0.097,-0.098,0,pm2m,0.443,,0.841,0.443,,0.841,-4.26,-4.482,,-4.703,-66.521,0.0,0.0,AB3C8,4.59
Cu2As2S4,0.054,-0.152,0,pm2_1b,0.296,,0.845,0.296,,0.845,-4.273,-4.421,,-4.569,-34.21,0.0,0.0,ABC2,2.055
PbTe4As2,0.038,-0.094,0,p-3m1,0.477,,0.847,0.626,,1.054,-4.588,-4.827,,-5.065,-26.561,0.0,0.0,AB2C4,3.588
Nb4Br2S12,0.039,-0.76,0,p-1,0.369,,0.848,0.4,,0.848,-4.883,-5.068,,-5.253,-107.097,0.0,0.0,AB2C6,1.751
Cr2As2Se6,0.025,-0.315,1,p31m,0.338,,0.85,0.63,,1.184,-4.547,-4.716,,-4.885,-52.193,0.145,0.145,ABC3,3.665
TeIV,0.133,-0.273,0,p3m1,0.578,,0.85,0.578,,0.85,-3.711,-3.999,,-4.288,-14.026,0.0,0.0,ABC,2.35
OsPtIBr5,0.0,-0.16,0,p1,0.319,,0.852,0.34,,0.9,-4.802,-4.962,,-5.121,-28.226,0.0,0.0,ABCD5,3.039
Bi2MnSe4,0.016,-0.37,1,p-3m1,0.17,,0.853,0.312,,1.199,-5.05,-5.135,,-5.22,-35.588,0.188,0.183,AB2C4,3.461
PdP2S6Li,0.04,-0.412,1,c211,0.103,,0.853,0.323,,1.057,-5.53,-5.582,,-5.633,-45.027,0.094,0.001,ABC2D6,1.985
Cu3SeBr5S,0.049,-0.236,0,p1,0.261,,0.853,0.288,,0.886,-5.903,-6.033,,-6.164,-28.876,0.0,0.0,ABC3D5,2.474
Te2V,0.016,-0.307,1,p-6m2,0.212,4.001,0.854,0.464,4.759,0.854,-4.862,-4.968,,-5.074,-15.854,1.984,1.984,AB2,4.309
Bi2Se2S,0.0,-0.391,0,p-3m1,0.354,,0.857,0.636,,1.126,-5.65,-5.827,,-6.004,-22.346,0.0,0.0,AB2C2,4.707
Au2Br6,0.121,-0.017,1,p-31m,0.082,,0.86,0.116,,0.891,-6.045,-6.086,,-6.127,-15.903,-0.354,-0.351,AB3,2.691
In2Te4Mg,0.0,-0.488,0,p-3m1,0.232,,0.862,0.232,,0.862,-4.282,-4.398,,-4.514,-23.375,0.0,0.0,AB2C4,3.177
Nb4S12Cl2,0.035,-0.812,0,p-1,0.391,,0.865,0.405,,0.865,-4.851,-5.047,,-5.243,-108.436,0.0,0.0,AB2C6,1.732
Au2O2,0.007,-0.01,0,p2/m11,0.174,0.97,0.865,0.439,1.581,1.328,-5.228,-5.315,,-5.402,-16.547,0.0,0.0,AB,2.137
Te2Cr,0.108,-0.106,0,p-6m2,0.453,0.812,0.869,0.453,0.812,0.869,-4.322,-4.548,,-4.775,-16.136,0.0,0.0,AB2,4.547
Te2I2Al2,0.101,-0.468,0,pmmn,0.389,,0.87,0.69,,1.162,-4.43,-4.624,,-4.819,-19.651,0.0,0.0,ABC,3.731
In2ZnS4,0.07,-0.581,0,p3m1,0.019,,0.87,0.021,,0.87,-5.373,-5.382,,-5.392,-27.086,0.0,0.0,AB2C4,3.183
PbSb2Se4,0.008,-0.347,0,p-3m1,0.424,,0.871,0.692,,1.006,-5.217,-5.429,,-5.641,-28.928,0.0,0.0,AB2C4,3.53
Bi3Sb3Se2S7,0.019,-0.311,0,p1,0.298,,0.871,0.591,,1.159,-5.549,-5.698,,-5.847,-67.413,0.0,0.0,A2B3C3D7,4.775
TeIAs,0.162,0.038,0,p3m1,0.329,1.091,0.872,0.589,1.419,1.238,-4.444,-4.609,,-4.774,-9.233,0.0,0.0,ABC,3.869
Te6Cr2Ge2,0.002,-0.184,1,p-31m,0.125,,0.874,0.817,,1.474,-4.57,-4.633,,-4.695,-48.919,0.463,0.463,ABC3,2.144
W2Te8Cr2,0.082,-0.093,0,pm2m,0.497,,0.876,0.497,,0.876,-4.143,-4.391,,-4.639,-68.544,0.0,0.0,ABC4,4.651
Pb2Te2,0.075,-0.346,0,p4/nmm,0.445,1.246,0.878,0.446,1.246,0.878,-4.034,-4.256,,-4.479,-15.311,0.0,0.0,AB,3.709
Mn2Cl6,0.073,-0.833,1,p-31m,0.039,,0.879,0.116,,0.879,-5.298,-5.317,,-5.337,-36.808,1.852,1.844,AB3,2.997
Au4I8,0.034,-0.032,0,p2/b11,0.358,,0.88,0.394,,0.901,-5.204,-5.383,,-5.562,-24.731,0.0,0.0,AB2,1.58
Sb2Se3,0.0,-0.263,0,p-3m1,0.421,,0.881,0.79,,1.147,-5.062,-5.272,,-5.483,-20.576,0.0,0.0,A2B3,4.763
W2Cl6,0.108,-0.709,0,p-31m,0.487,,0.883,0.487,,0.883,-4.407,-4.65,,-4.894,-39.351,0.0,0.0,AB3,3.833
Hf2Se6,0.003,-1.016,0,pmmn,0.272,,0.885,0.569,,1.39,-4.89,-5.025,,-5.161,-44.039,0.0,0.0,AB3,5.138
Ni4S4,0.096,-0.282,0,pbma,0.635,,0.888,0.635,,0.895,-4.609,-4.926,,-5.244,-47.558,0.0,0.0,AB,2.923
Ir2Ni2BrS6Cl,0.082,-0.352,0,p1,0.251,,0.889,0.297,,0.966,-5.324,-5.45,,-5.575,-65.113,0.0,0.0,ABC2D2E6,3.409
Zr2I4,0.0,-0.911,0,p2_1/m11,0.429,,0.889,0.536,,0.892,-3.692,-3.907,,-4.121,-26.186,0.0,0.0,AB2,4.111
Tl2Se2,0.076,-0.196,0,p-6m2,0.494,1.322,0.891,0.549,1.374,0.944,-5.348,-5.595,,-5.842,-12.747,0.0,0.0,AB,3.927
Os2SeSCl4,0.066,-0.291,0,p1,0.156,,0.893,0.189,,0.941,-5.406,-5.484,,-5.562,-39.414,0.0,0.0,ABC2D4,3.108
MoTe8Cr3,0.087,-0.149,0,pm2m,0.467,,0.893,0.467,,0.893,-4.293,-4.526,,-4.76,-66.85,0.0,0.0,AB3C8,4.576
Re6Te8I2,0.0,-0.157,0,p-1,0.375,,0.894,0.602,,1.211,-4.908,-5.096,,-5.284,-101.06,0.0,0.0,AB3C4,2.874
I2Cr2Se2,0.0,-0.522,1,pmmn,0.0,,0.895,0.0,,0.997,,-5.282,,,-31.872,-0.9,0.09,ABC,4.003
Bi2Cu2S4,0.104,-0.201,0,pm2_1b,0.136,,0.896,0.154,,0.896,-3.633,-3.701,,-3.769,-34.624,0.0,0.0,ABC2,1.988
Ba4Sb4Te8F4,0.049,-1.582,0,p2_1/b11,0.512,,0.896,0.544,,0.896,-4.587,-4.843,,-5.099,-88.558,0.0,0.0,ABCD2,3.822
Sn2Te2,0.063,-0.215,0,pm2_1n,0.603,1.009,0.897,0.628,1.032,0.94,-3.486,-3.788,,-4.089,-15.384,0.0,0.0,AB,3.59
Ir4Te8,0.066,-0.268,0,p-1,0.551,,0.898,0.591,,0.934,-4.174,-4.45,,-4.725,-65.956,0.0,0.0,AB2,4.013
Hg4Te4,0.044,-0.159,0,p2/m11,0.373,,0.899,0.373,,0.899,-4.312,-4.498,,-4.684,-17.632,0.0,0.0,AB,3.534
YBr2,0.016,-1.729,1,p-6m2,0.344,1.574,0.901,0.916,2.283,1.566,-3.59,-3.762,,-3.934,-13.047,0.119,0.119,AB2,3.476
TlAgSe6P2,0.018,-0.127,0,p312,0.266,,0.901,0.33,,0.981,-5.094,-5.227,,-5.36,-38.229,0.0,0.0,ABC2D6,2.001
Te3As2,0.014,-0.003,0,p-3m1,0.519,,0.902,0.596,,1.002,-4.373,-4.632,,-4.892,-18.956,0.0,0.0,A2B3,4.817
Rb4As4Mg4,0.0,-0.63,0,p4/nmm,0.392,,0.904,0.392,,0.904,-1.218,-1.414,,-1.61,-36.319,0.0,0.0,ABC,2.157
PdSe2,0.026,-0.265,0,p-3m1,0.558,1.615,0.906,0.891,1.987,1.302,-4.778,-5.057,,-5.336,-11.58,0.0,0.0,AB2,3.523
Nb3Cl8,0.0,-1.345,1,p3m1,0.206,,0.912,0.391,,1.138,-4.48,-4.584,,-4.687,-60.058,0.11,0.11,A3B8,1.898
Cr2Se2Cl2,0.026,-0.834,1,pmmn,0.176,,0.914,0.176,,1.015,-5.963,-6.051,,-6.139,-34.354,0.117,0.224,ABC,3.632
In2Ge2S2,0.003,-0.367,0,p-3m1,0.414,,0.914,0.414,,0.914,-4.98,-5.187,,-5.394,-24.917,0.0,0.0,ABC,2.987
