Formula,Layer group,Stoichiometry,Energy above hull [eV/atom],Heat of formation [eV/atom],Magnetic,Band gap (PBE) [eV],Band gap (HSE06) [eV],Direct band gap (PBE) [eV],Direct band gap (HSE06) [eV],CBM wrt. vacuum (PBE) [eV],Fermi level wrt. vacuum (PBE) [eV],VBM wrt. vacuum (PBE) [eV],Energy [eV],"Magnetic anisotropy energy, xz [meV/unit cell]","Magnetic anisotropy energy, yz [meV/unit cell]",Vacuum level [eV]
Pd2I4O12,p2_1/b11,AB2C6,0.026,-0.15700000000000003,0.0,1.034,2.732,1.18,2.901,-4.753,-5.27,-5.787,-77.862,1.3877787807814457e-17,0.0,1.798
Pd2N4O12,p2_1/b11,AB2C6,0.0,-0.387,0.0,1.431,3.277,1.431,3.277,-5.569,-6.284,-6.999,-109.50200000000001,1.3877787807814457e-17,0.0,1.268
Pt2N4O12,p2_1/b11,AB2C6,0.012999999999999998,-0.348,0.0,2.206,3.864,2.24,3.896,-4.596,-5.699,-6.802,-113.866,1.3877787807814457e-17,0.0,1.339
As4S2O12,p2_12_12,AB2C6,0.0,-1.232,0.0,4.456,5.874,4.456,5.874,-2.721,-4.949,-7.177,-110.478,1.3877787807814457e-17,0.0,1.2100000000000002
Sb4S2O12,p2_12_12,AB2C6,0.0,-1.369,0.0,4.131,5.447,4.131,5.447,-2.49,-4.556,-6.621,-111.915,1.3877787807814457e-17,0.0,1.346
As4Se2O12,p2_12_12,AB2C6,0.075,-0.916,0.0,3.192,3.8786666666666667,3.192,3.888,-3.91,-5.506,-7.103,-103.59,1.3877787807814457e-17,0.0,1.225
Sr2Ge4Cl12,p-1,AB2C6,0.0,-1.371,0.0,3.8290000000000006,4.825,3.829,4.825,-2.785,-4.699,-6.613,-67.51,1.3877787807814457e-17,0.0,1.95
Sr2P4O12,p-1,AB2C6,0.091,-2.4129999999999994,0.0,5.087,6.874,5.088,6.875,-3.091,-5.635,-8.178,-129.73,1.3877787807814457e-17,0.0,1.541
Sr2P4S12,p-1,AB2C6,0.072,-0.623,0.0,2.344,3.398,2.412,3.494,-4.169,-5.341,-6.513,-84.95,1.3877787807814457e-17,0.0,1.881
Pb4Sr2Cl12,p-1,AB2C6,0.076,-1.547,0.0,2.998,4.087,3.026,4.132,-3.289,-4.788,-6.287,-67.654,1.3877787807814457e-17,0.0,2.058
Sr2Sn4Cl12,p-1,AB2C6,0.022,-1.491,0.0,3.575,4.466,3.577,4.466,-2.706,-4.494,-6.281,-67.835,1.3877787807814457e-17,0.0,2.004
Ag4Te2O12,p2_1/b11,AB2C6,0.084,-0.386,0.0,0.636,1.801,0.644,1.8050000000000002,-7.119,-7.437,-7.755,-86.205,1.3877787807814457e-17,0.0,1.533
Au4Te2O12,p2_1/b11,AB2C6,0.041,-0.368,0.0,1.08,2.467,1.08,2.47,-6.509,-7.049,-7.589,-87.04,1.3877787807814457e-17,0.0,1.592
Te2Cu4O12,p2_1/b11,AB2C6,0.088,-0.581,0.0,0.44899999999999995,1.738,0.46599999999999997,1.7810000000000001,-7.471,-7.696,-7.92,-93.071,1.3877787807814457e-17,0.0,1.53
W2As4O12,pm2_1n,AB2C6,0.038,-1.638,0.0,1.811,3.138,1.841,3.16,-5.64,-6.545,-7.451,-132.595,1.3877787807814457e-17,0.0,2.579
W2Sb4O12,p2_111,AB2C6,0.038,-1.722,0.0,1.745,2.951,1.773,2.988,-5.216,-6.088,-6.961,-133.084,1.3877787807814457e-17,0.0,2.861
Hf6IClCN2O4,p1,ABCD2E4F6,0.122,-2.124,0.0,0.0,0.7123333333333333,0.0,0.7123333333333337,-4.513333333333334,-4.236,-4.83,-126.578,1.3877787807814457e-17,0.0,5.122
AgCuSe5P2S,p1,ABCD2E5,0.016,-0.10599999999999998,0.0,0.026999999999999913,0.12699999999999978,0.09499999999999997,0.2450000000000001,-5.53,-5.543,-5.557,-39.795,1.3877787807814457e-17,0.0,3.544
K2GeO6H6,p-3,AB2C6D6,0.0,-1.366,0.0,4.237,5.959,4.237,5.959,-1.604,-3.723,-5.841,-78.139,1.3877787807814457e-17,0.0,0.8460000000000001
K2GeS6H6,p-3,AB2C6D6,0.045,-0.443,0.0,2.31,3.373,2.336,3.388,-3.249,-4.404,-5.559,-58.021,1.3877787807814457e-17,0.0,1.0670000000000002
GeLi2O6H6,p-3,AB2C6D6,0.051,-1.4,0.0,4.083,5.821,4.083,5.821,-1.6399999999999997,-3.681,-5.723,-79.989,1.3877787807814457e-17,0.0,0.9199999999999999
GeNa2O6H6,p-3,AB2C6D6,0.0,-1.362,0.0,4.152,5.901,4.152,5.901,-1.7430000000000003,-3.818,-5.894,-78.259,1.3877787807814457e-17,0.0,0.8300000000000001
GeNa2S6H6,p-3,AB2C6D6,0.058,-0.398,0.0,2.274,3.318,2.284,3.327,-3.31,-4.447,-5.584,-57.509,1.3877787807814457e-17,0.0,1.091
HfK2O6H6,p-3,AB2C6D6,0.034,-1.695,0.0,4.19,5.846,4.190000000000001,5.846,-1.307,-3.402,-5.497,-86.068,1.3877787807814457e-17,0.0,0.81
HfK2S6H6,p-3,AB2C6D6,0.0010000000000000009,-0.713,0.0,3.014,4.336,3.0140000000000002,4.343,-2.533,-4.04,-5.547,-65.055,1.3877787807814457e-17,0.0,1.073
HfS6Li2H6,p-3,AB2C6D6,0.059,-0.652,0.0,3.008,4.329,3.054,4.379,-2.982,-4.486,-5.99,-65.477,1.3877787807814457e-17,0.0,1.015
HfNa2O6H6,p-3,AB2C6D6,0.003999999999999997,-1.6830000000000003,0.0,4.113,5.786,4.113,5.786,-1.384,-3.44,-5.497,-86.053,1.3877787807814457e-17,0.0,0.7869999999999999
HfNa2S6H6,p-3,AB2C6D6,0.015,-0.661,0.0,2.783,4.097,2.783,4.097,-2.718,-4.11,-5.502,-64.448,1.3877787807814457e-17,0.0,1.104
PbK2O6H6,p-3,AB2C6D6,0.0049999999999999975,-1.201,0.0,3.076,4.535,3.087,4.535,-2.801,-4.339,-5.877,-74.903,1.3877787807814457e-17,0.0,0.8780000000000001
PbK2S6H6,p-3,AB2C6D6,0.063,-0.408,0.0,1.59,2.466,1.59,2.466,-4.122,-4.917,-5.712,-56.737,1.3877787807814457e-17,0.0,1.092
PbNa2O6H6,p-3,AB2C6D6,0.0,-1.187,0.0,2.904,4.41,2.911,4.417,-3.006,-4.458,-5.91,-74.863,1.3877787807814457e-17,0.0,0.8599999999999999
PbNa2S6H6,p-3,AB2C6D6,0.075,-0.359,0.0,1.498,2.375,1.52,2.412,-4.13,-4.879,-5.628,-56.171,1.3877787807814457e-17,0.0,1.085
PdK2O6H6,p-3,AB2C6D6,0.0,-1.111,0.0,2.493,4.384,2.495,4.384,-2.747,-3.993,-5.239,-73.617,1.3877787807814457e-17,0.0,0.887
PdK2S6H6,p-3,AB2C6D6,0.026,-0.42800000000000005,0.0,1.783,2.798,1.786,2.852,-3.502,-4.393,-5.285,-57.097,1.3877787807814457e-17,0.0,1.1
PdLi2O6H6,p-3,AB2C6D6,0.053,-1.134,0.0,2.434,4.306,2.434,4.306,-2.803,-4.02,-5.238,-75.302,1.3877787807814457e-17,0.0,0.933
PdNa2O6H6,p-3,AB2C6D6,0.003999999999999997,-1.103,0.0,2.468,4.355,2.468,4.355,-2.896,-4.13,-5.364,-73.669,1.3877787807814457e-17,0.0,0.8599999999999999
PdNa2S6H6,p-3,AB2C6D6,0.033,-0.384,0.0,1.715,2.71,1.744,2.794,-3.616,-4.474,-5.331,-56.614,1.3877787807814457e-17,0.0,1.106
PtK2O6H6,p-3,AB2C6D6,0.0,-1.152,0.0,2.843,4.68,2.849,4.681,-1.642,-3.064,-4.485,-76.763,1.3877787807814457e-17,0.0,0.9119999999999999
PtK2S6H6,p-3,AB2C6D6,0.0,-0.476,0.0,2.284,3.419,2.286,3.423,-2.842,-3.984,-5.126,-60.352,1.3877787807814457e-17,0.0,1.111
PtLi2O6H6,p-3,AB2C6D6,0.042,-1.172,0.0,2.833,4.67,2.837,4.67,-1.662,-3.0790000000000006,-4.495,-78.4,1.3877787807814457e-17,0.0,0.9489999999999998
AuHgBrCl3,p1,ABCD3,0.028,-0.4060000000000001,1.0000000000000002,0.1280000000000001,1.148,0.43199999999999994,1.481,-5.874,-5.938,-6.002,-13.388999999999996,0.425,-0.279,2.592
PtNa2O6H6,p-3,AB2C6D6,0.0,-1.142,0.0,2.835,4.674,2.838,4.675,-1.775,-3.192,-4.61,-76.794,1.3877787807814457e-17,0.0,0.8839999999999999
PtNa2S6H6,p-3,AB2C6D6,0.003999999999999997,-0.432,0.0,2.273,3.386,2.292,3.411,-2.942,-4.078,-5.214,-59.867,1.3877787807814457e-17,0.0,1.127
AuI3MnBr,p112,ABCD3,0.131,-0.20599999999999996,1.0000000000000002,0.0,0.7263333333333335,0.0,0.7889999999999999,-6.453666666666667,-5.738,-6.52,-20.103,-4.602,-5.753,2.734
SnK2O6H6,p-3,AB2C6D6,0.0010000000000000009,-1.366,0.0,4.058,5.746,4.083,5.748999999999999,-1.8090000000000002,-3.838,-5.867,-77.671,1.3877787807814457e-17,0.0,0.8559999999999999
SnK2S6H6,p-3,AB2C6D6,0.0,-0.491,0.0,2.626,3.698,2.626,3.698,-3.072,-4.385,-5.698,-58.281,1.3877787807814457e-17,0.0,1.085
AuTlI3Br,pm11,ABCD3,0.008,-0.318,0.0,0.493,1.275,0.741,1.474,-5.38,-5.626,-5.873,-13.552999999999997,1.3877787807814457e-17,0.0,2.712
SnNa2O6H6,p-3,AB2C6D6,0.011,-1.355,0.0,3.937,5.655,3.959,5.675,-1.9779999999999998,-3.947,-5.915,-77.684,1.3877787807814457e-17,0.0,0.837
SnNa2S6H6,p-3,AB2C6D6,0.008,-0.442,0.0,2.587,3.652,2.593,3.659,-3.091,-4.385,-5.679,-57.722,1.3877787807814457e-17,0.0,1.095
ZrK2O6H6,p-3,AB2C6D6,0.046,-1.684,0.0,4.248000000000001,5.901999999999999,4.248,5.902,-1.275,-3.399,-5.523,-85.793,1.3877787807814457e-17,0.0,0.8069999999999999
ZrK2S6H6,p-3,AB2C6D6,0.005999999999999998,-0.706,0.0,2.689,4.118,2.689,4.118,-2.899,-4.243,-5.588,-64.85,1.3877787807814457e-17,0.0,1.0700000000000003
RuCuSeCl3,p1,ABCD3,0.061,-0.442,0.0,0.278,0.8200000000000001,0.2909999999999999,0.8199999999999998,-5.447,-5.586,-5.725,-24.631,1.3877787807814457e-17,0.0,3.17
ZrNa2O6H6,p-3,AB2C6D6,0.038,-1.671,0.0,4.179,5.847,4.179,5.847,-1.346,-3.435,-5.524,-85.774,1.3877787807814457e-17,0.0,0.7850000000000001
SrIVCl3,pm11,ABCD3,0.066,-1.607,1.0000000000000002,1.219,3.719,1.356,3.861,-3.479,-4.089,-4.698,-26.671,0.03900000000000001,-0.12099999999999998,2.884
WTe3MnSe,pm11,ABCD3,0.096,-0.18700000000000006,1.0000000000000002,0.123,0.45799999999999996,0.123,0.56,-4.27,-4.332,-4.394,-35.42,0.603,-0.186,4.379
SnNaSCl3,p1,ABCD3,0.056,-1.071,0.0,2.023,3.168,2.083,3.22,-5.184,-6.196,-7.207,-21.224,1.3877787807814457e-17,0.0,2.637
Pb2As2Cl2O6,p11a,ABCD3,0.067,-1.187,0.0,3.017,4.402,3.116,4.543,-3.998,-5.507,-7.015,-65.397,1.3877787807814457e-17,0.0,1.991
Nb4Pd2Te14,p2_1/m11,AB2C7,0.017,-0.395,0.0,0.020999999999999908,0.011666666666666714,0.040000000000000036,0.06099999999999994,-4.563,-4.573,-4.583,-101.71100000000001,1.3877787807814457e-17,0.0,2.349
Pb2As2O6F2,p11a,ABCD3,0.059,-1.526,0.0,3.334,4.677,3.342,4.677,-3.951,-5.618,-7.285,-69.075,1.3877787807814457e-17,0.0,1.891
Ta4Pd2Te14,p2_1/m11,AB2C7,0.013999999999999999,-0.348,0.0,0.030999999999999917,0.010333333333333528,0.040000000000000036,0.04999999999999982,-4.452,-4.468,-4.483,-98.724,1.3877787807814457e-17,0.0,2.349
Pt2Nb4Te14,p2_1/m11,AB2C7,0.012999999999999998,-0.413,0.0,0.06299999999999994,0.0129999999999999,0.06600000000000006,0.07200000000000006,-4.501,-4.533,-4.564,-107.147,1.3877787807814457e-17,0.0,2.382
Ta4Pt2Te14,p2_1/m11,AB2C7,0.019000000000000003,-0.36500000000000005,0.0,0.05899999999999994,0.008999999999999897,0.05899999999999994,0.039000000000000146,-4.418,-4.447,-4.476,-104.149,1.3877787807814457e-17,0.0,2.388
Te4S2O14,pm2_1n,AB2C7,0.026,-1.169,0.0,3.194,4.609,3.207,4.647,-5.013,-6.61,-8.207,-116.085,1.3877787807814457e-17,0.0,2.085
Te4Se2O14,pm2_1n,AB2C7,0.036,-0.875,0.0,2.888,4.219,3.123,4.531,-5.229,-6.672,-8.116,-109.031,1.3877787807814457e-17,0.0,2.173
Cs2C2O6H2,p2_111,ABCD3,0.0,-1.537,0.0,4.324,6.047000000000001,4.336,6.068,-1.1269999999999998,-3.289,-5.451,-75.938,1.3877787807814457e-17,0.0,1.397
CdIn2F8,c2/m11,AB2C8,0.073,-2.464,0.0,3.977,6.035,3.977,6.035,-5.051,-7.04,-9.029,-46.25,1.3877787807814457e-17,0.0,2.124
Au4I4O4H4,p2_1/b11,ABCD,0.056,-0.407,0.0,0.020999999999999908,0.22766666666666646,0.038999999999999924,0.2276666666666669,-4.575,-4.585,-4.596,-58.74,1.3877787807814457e-17,0.0,2.197
HfMo2O8,p-3m1,AB2C8,0.0,-2.478,0.0,3.311,5.134,3.399,5.212,-5.485,-7.14,-8.796,-98.163,1.3877787807814457e-17,0.0,1.643
K2C2O6H2,p2_111,ABCD3,0.0,-1.542,0.0,4.463,6.216,4.463,6.216,-1.126,-3.358,-5.589,-76.773,1.3877787807814457e-17,0.0,1.221
Na2C2O6H2,p2_111,ABCD3,0.0,-1.5190000000000001,0.0,4.539,6.301,4.605,6.37,-1.117,-3.386,-5.656,-76.671,1.3877787807814457e-17,0.0,1.115
HfW2O8,p-3m1,AB2C8,0.017999999999999995,-2.575,0.0,3.635,5.42,3.725,5.506,-5.283,-7.1,-8.918,-99.791,1.3877787807814457e-17,0.0,1.709
Rb2C2O6H2,p2_111,ABCD3,0.0,-1.533,0.0,4.385,6.136,4.386,6.1370000000000005,-1.1719999999999997,-3.365,-5.558,-76.046,1.3877787807814457e-17,0.0,1.243
MgB2F8,p-3m1,AB2C8,0.0,-3.138,0.0,8.241,10.618000000000002,8.243,10.619,-1.7079999999999997,-5.828,-9.949,-62.235,1.3877787807814457e-17,0.0,1.321
MgB2H8,p-3m1,AB2C8,0.04,-0.23199999999999998,0.0,6.082,7.486,6.448,7.884,-1.835,-4.876,-7.917,-44.173,1.3877787807814457e-17,0.0,0.9990000000000001
Re2MnO8,p-3,AB2C8,0.0,-1.73,1.0000000000000002,1.565,4.03,1.653,4.097,-5.205,-5.988,-6.77,-93.057,2.251,2.254,1.607
NiCl2O8,p-3,AB2C8,0.193,0.0,1.0000000000000002,1.554,5.297,1.561,5.305,-6.37,-7.147,-7.924,-51.812,0.077,0.077,1.876
Re2NiO8,p-3,AB2C8,0.0,-1.562,1.0000000000000002,1.575,4.97,1.621,5.022,-6.148,-6.935,-7.723,-88.735,-1.116,-1.093,1.667
Ge2P2Cl2O6,p11a,ABCD3,0.0,-1.623,0.0,4.599,5.831,4.65,5.919,-2.351,-4.651,-6.95,-73.547,1.3877787807814457e-17,0.0,1.658
Ge2P2S6Cl2,p11a,ABCD3,0.057,-0.335,0.0,2.328,3.301,2.414,3.393,-3.758,-4.922,-6.086,-51.825,1.3877787807814457e-17,0.0,1.77
Re2PdO8,p-3,AB2C8,0.0,-1.42,1.0000000000000002,0.88,2.78,0.9549999999999998,2.816,-6.658,-7.098,-7.538,-83.752,-1.355,-1.379,1.69
SrAg2O8,p422,AB2C8,0.042,-0.518,0.0,0.0,1.027,0.0,1.0376666666666667,-5.1546666666666665,-5.526,-5.2700000000000005,-54.048,1.3877787807814457e-17,0.0,1.73
Pb2P2Cl2O6,p11a,ABCD3,0.033,-1.729,0.0,3.7270000000000003,5.175,3.807,5.201,-3.366,-5.23,-7.093,-73.31,1.3877787807814457e-17,0.0,2.004
Pb2P2S6Cl2,p11a,ABCD3,0.072,-0.453,0.0,2.103,3.072,2.202,3.209,-4.179,-5.231,-6.283,-51.717,1.3877787807814457e-17,0.0,1.889
Sn2P2Cl2O6,p11a,ABCD3,0.0,-1.694,0.0,4.082,5.166,4.11,5.224,-2.712,-4.753,-6.794,-73.488,1.3877787807814457e-17,0.0,1.813
SrCu2O8,p422,AB2C8,0.067,-0.663,0.0,0.0,0.7226666666666668,0.0,0.7450000000000001,-5.1546666666666665,-5.79,-5.2700000000000005,-57.311,1.3877787807814457e-17,0.0,1.811
Sn2P2S6Cl2,p11a,ABCD3,0.055,-0.4060000000000001,0.0,2.393,3.312,2.517,3.372,-3.746,-4.942,-6.139,-51.752,1.3877787807814457e-17,0.0,1.814
Re2ZnO8,p-3,AB2C8,0.0,-1.71,0.0,3.966,5.7,4.103,5.798,-4.931,-6.915,-8.898,-84.302,1.3877787807814457e-17,0.0,1.649
ZrMo2O8,p-3m1,AB2C8,0.011,-2.473,0.0,3.205,5.054,3.294,5.13,-5.587,-7.19,-8.792,-98.002,1.3877787807814457e-17,0.0,1.6360000000000001
Ge2P2O6F2,p11a,ABCD3,0.0,-2.037,0.0,4.634,5.827,4.636,5.856999999999999,-2.454,-4.771,-7.088,-78.121,1.3877787807814457e-17,0.0,1.524
W2ZrO8,p-3m1,AB2C8,0.024,-2.568,0.0,3.486,5.321,3.576,5.405,-5.427,-7.17,-8.913,-99.62,1.3877787807814457e-17,0.0,1.702
Ge2P2S6F2,p11a,ABCD3,0.013999999999999999,-0.725,0.0,2.508,3.376,2.605,3.478,-3.832,-5.086,-6.34,-56.1,1.3877787807814457e-17,0.0,1.698
Pb2P2O6F2,p11a,ABCD3,0.0,-2.135,0.0,3.7279999999999998,5.124,3.8150000000000004,5.163,-3.328,-5.193,-7.057,-77.787,1.3877787807814457e-17,0.0,1.815
Pb2P2S6F2,p11a,ABCD3,0.011,-0.853,0.0,1.996,2.969,2.175,3.178,-4.467,-5.465,-6.463,-56.124,1.3877787807814457e-17,0.0,1.838
Sn2P2O6F2,p11a,ABCD3,0.0,-2.106,0.0,3.9849999999999994,5.048,3.991,5.068,-2.814,-4.807,-6.799,-78.035,1.3877787807814457e-17,0.0,1.651
Sn2P2S6F2,p11a,ABCD3,0.0,-0.8,0.0,2.338,3.154,2.495,3.316,-3.958,-5.127,-6.295,-56.08,1.3877787807814457e-17,0.0,1.771
