Formula,Band gap (G₀W₀) (eV),Direct band gap (G₀W₀) (eV),Direct band gap (PBE) (eV),Direct band gap (HSE06) (eV),Energy above hull (eV/atom),Heat of formation (eV/atom),Magnetic,Band gap (PBE) (eV),Band gap (HSE06) (eV),Direct band gap (PBE) (eV),Direct band gap (HSE06) (eV),CBM wrt. vacuum (PBE) (eV),Fermi level wrt. vacuum (PBE) (eV),VBM wrt. vacuum (PBE) (eV),Energy (eV),"Magnetic anisotropy energy, xz (meV/unit cell)","Magnetic anisotropy energy, yz (meV/unit cell)",Vacuum level (eV)
Zr2BF2,,,0.0,,0.016,-2.227,0.0,0.0,1.1016666666666666,0.0,1.131,-4.039,-3.988,-4.543333333333333,-35.82,1.3877787807814457e-17,0.0,4.397
Ag2Te4I2,,,1.099,1.947,0.010000000000000002,-0.125,0.0,1.025,1.889,1.099,1.947,-4.378,-4.89,-5.402,-22.454,1.3877787807814457e-17,0.0,2.87
Te4Cr2Co,,,0.0,,0.051,-0.17100000000000004,1.0000000000000002,0.0,0.7153333333333336,0.0,0.9000000000000001,-4.939,-4.893,-4.9910000000000005,-41.064,1.674,1.667,3.697
Sc2CH2,,,1.16,2.185,0.071,-0.546,0.0,1.01,2.009,1.16,2.185,-4.068,-4.573,-5.078,-27.917,1.3877787807814457e-17,0.0,3.091
Ta8TeSe2BrCl4C3N,,,0.0,,0.087,-0.842,0.0,0.0,1.089666666666667,0.0,1.1036666666666668,-4.55,-4.067,-5.224,-150.281,1.3877787807814457e-17,0.0,5.701
In2I2S2,,,1.162,1.917,0.038,-0.524,0.0,1.162,1.912,1.162,1.917,-4.61,-5.191,-5.772,-19.781,1.3877787807814457e-17,0.0,3.499
Te4Ga4Cl4,,,2.172,2.89,0.0020000000000000018,-0.728,0.0,2.172,2.89,2.172,2.89,-4.236,-5.322,-6.408,-40.305,1.3877787807814457e-17,0.0,1.582
Bi2In2,,,0.196,0.181,0.094,0.09199999999999997,0.0,0.03699999999999992,0.1379999999999999,0.19599999999999995,0.18100000000000005,-3.87,-3.888,-3.907,-14.505000000000003,1.3877787807814457e-17,0.0,1.719
Ta2Te6,,,0.0,,0.074,-0.235,0.0,0.0,0.29766666666666675,0.0,0.29766666666666675,-4.283333333333333,-4.226,-4.6353333333333335,-40.743,1.3877787807814457e-17,0.0,5.631
Ta2I4O2,,,0.883,1.826,0.0,-1.348,0.0,0.861,1.637,0.883,1.826,-4.114,-4.544,-4.974,-46.581,1.3877787807814457e-17,0.0,2.103
Te4CrGa2,,,0.0,,0.036,-0.279,1.0000000000000002,0.0,0.6126666666666667,0.0,0.6126666666666667,-4.275,-3.965,-4.408333333333333,-29.985,-1.6570000000000003,-1.658,3.301
Ti6Cl6N3,,,0.0,,0.0,-1.674,0.0,0.0,0.6466666666666667,0.0,0.6466666666666667,-4.660666666666667,-4.349,-5.003,-101.01,1.3877787807814457e-17,0.0,5.176
Pt2Br2,,,1.264,1.771,0.0,-0.22799999999999998,0.0,1.177,1.663,1.264,1.771,-4.118,-4.706,-5.295,-16.788999999999998,1.3877787807814457e-17,0.0,4.271
NiCl2C6N2H4,,,1.013,2.882,0.181,-0.08099999999999996,1.0000000000000002,0.858,2.638,1.013,2.882,-4.289,-4.717,-5.146,-97.36,0.071,0.437,1.165
